,event_trading,event_trading,overnight_trading,overnight_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading
,super_bowl,super_bowl,short_term_reversal,short_term_reversal,buy_when_yields_are_low,buy_when_yields_are_low,pay_day_strategy,pay_day_strategy,santa_claus_strategy,santa_claus_strategy,september_bear,september_bear,tax_day_strategy,tax_day_strategy,turn_around_tuesday_strategy,turn_around_tuesday_strategy
,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L
Date,,,,,,,,,,,,,,,,
2010-12-20,,,,,,,,,,0.00518670801707799,,,,,,
2010-12-21,,,,,,,,,,0.0005845599081248931,,,,,,
2010-12-22,,,,,,,,,,-0.0025416724818417835,,,,,,
2010-12-23,,,,,,,,,,0.0005458365519177555,,,,,,
2010-12-29,,,,,,,,-0.0026502331774398424,,-0.0026502331774398424,,,,,,
2010-12-30,,,,,,,,-0.003540182176633433,,-0.003540182176633433,,,,,,
2010-12-31,,,,,,,,0.015159352342237975,,0.015159352342237975,,,,,,
2011-01-04,,,,,,,,,,0.008409510391752084,,,,,,
2011-01-05,,,,,,,,,,0.0031495187124668256,,,,,,
2011-01-06,,,,,,,,,,-0.0003724338552439921,,,,,,
2011-01-07,,,,,,,,,,,,,,,,
2011-01-10,,,,,,,,,,,,,,,,
2011-01-11,,,,,,,,,,,,,,,,
2011-01-12,,,,,,,,,,,,,,,,
2011-01-13,,,,,,0.0,,,,,,,,,,
2011-01-14,,,,,,0.0022740770493587803,,,,,,,,,,
2011-01-17,,,,,,,,,,,,,,,,
2011-01-18,,,,,,-0.00750260347644971,,,,,,,,,,
2011-01-19,,,,,,-0.007771370378925058,,,,,,,,,,
2011-01-20,,,,,,0.014111998095980294,,,,,,,,,,
2011-01-21,,,,0.014111998095980294,,0.0015687293204094122,,,,,,,,,,
2011-01-24,,,,,,,,,,,,,,,,
2011-01-25,,,,,,,,0.004425012047167831,,,,,,,,
2011-01-26,,,,,,,,0.006841087623237652,,,,,,,,
2011-01-27,,,,,,,,-0.025514267186914297,,,,,,,,
2011-01-28,,,,,,,,0.0049954937304712566,,,,,,,,
2011-01-31,,,,,,,,0.018829743860322434,,,,,,,,
2011-02-01,,,,,,,,-0.0016384860271410062,,,,,,,,
2011-02-02,,,,,,,,,,,,,,,,
2011-02-03,,,,,,,,,,,,,,,,
2011-02-04,,,,,,,,,,,,,,,,
2011-02-07,,0.006147939742620734,,,,,,,,,,,,,,
2011-02-08,,-0.0011403329856781719,,,,,,,,,,,,,,
2011-02-09,,0.0014815963157006617,,,,,,,,,,,,,,
2011-02-10,,0.006267630618441489,,,,,,,,,,,,,,
2011-02-11,,0.0026747463528251636,,,,,,,,,,,,,,
2011-02-14,,-0.0013647612493039585,,,,,,,,,,,,,,
2011-02-15,,0.006764695772583096,,,,,,,,,,,,,,
2011-02-16,,-0.0001120605860877033,,,,,,,,,,,,,,
2011-02-17,,-0.002157909057344587,,,,,,,,,,,,,,
2011-02-18,,,,,,,,,,,,,,,,
2011-02-21,,,,-0.02905172106133136,,,,,,,,,,,,-0.02905172106133136
2011-02-22,,,,-0.009282580445185151,,,,-0.009282580445185151,,,,,,,,-0.009282580445185151
2011-02-23,,,,0.005368933168558687,,,,0.005368933168558687,,,,,,,,0.005368933168558687
2011-02-24,,,,,,0.001983889472367828,,0.014246661827253426,,,,,,,,
2011-02-25,,,,,,-0.015193066087137663,,0.001983889472367828,,,,,,,,
2011-02-28,,,,,,0.0049967780486548374,,-0.015193066087137663,,,,,,,,
2011-03-01,,,,,,0.01930769974814739,,0.0049967780486548374,,,,,,,,
2011-03-02,,,,,,-0.004977402358008032,,,,,,,,,,
2011-03-03,,,,,,-0.013537383129639258,,,,,,,,,,
2011-03-04,,,,,,0.004044487376802186,,,,,,,,,,
2011-03-07,,,,,,-0.006319891126863042,,,,,,,,,,0.004044487376802186
2011-03-08,,,,,,-0.016549000882364107,,,,,,,,,,
2011-03-09,,,,,,0.006545740827298863,,,,,,,,,,
2011-03-10,,,,,,-0.0036236164603663523,,,,,,,,,,
2011-03-11,,,,,,-0.013563348283982424,,,,,,,,,,
2011-03-14,,,,,,-0.025049667585334334,,,,,,,,,,-0.013563348283982424
2011-03-15,,,,,,0.010096650463760515,,,,,,,,,,-0.025049667585334334
2011-03-16,,,,0.010096650463760515,,-0.0018952374198997202,,,,,,,,,,0.010096650463760515
2011-03-17,,,,,,0.018721651083176916,,,,,,,,,,
2011-03-18,,,,,,-0.0020955341791089044,,,,,,,,,,
2011-03-21,,,,,,0.005570011024636612,,,,,,,,,,
2011-03-22,,,,,,0.018291712812751992,,,,,,,,,,
2011-03-23,,,,,,0.0018028829344052255,,,,,,,,,,
2011-03-24,,,,,,-0.005742744327696725,,,,,,,,,,
2011-03-25,,,,,,0.00977878346753669,,-0.005742744327696725,,,,,,,,
2011-03-28,,,,,,0.004707042447131382,,0.00977878346753669,,,,,,,,0.00977878346753669
2011-03-29,,,,,,,,0.004707042447131382,,,,,,,,
2011-03-30,,,,,,,,0.0010503444047746946,,,,,,,,
2011-03-31,,,,,,,,0.0016754222033141808,,,,,,0.0016754222033141808,,
2011-04-01,,,,,,,,-0.003539104932662962,,,,,,-0.003539104932662962,,
2011-04-04,,,,,,,,,,,,,,-0.00285862637762746,,-0.00285862637762746
2011-04-05,,,,,,,,,,,,,,0.0019069014863084544,,0.0019069014863084544
2011-04-06,,,,,,,,,,,,,,0.00021739910649287708,,
2011-04-07,,,,,,,,,,,,,,-0.005006142328552787,,
2011-04-08,,,,,,,,,,,,,,-0.00285069685204542,,
2011-04-11,,,,,,,,,,,,,,-0.0070111158028054454,,-0.0070111158028054454
2011-04-12,,,,0.007976933656282714,,,,,,,,,,0.007976933656282714,,0.007976933656282714
2011-04-13,,,,,,,,,,,,,,-0.0023384236741607056,,
2011-04-14,,,,,,,,,,,,,,-0.0016006062156128653,,
2011-04-15,,,,,,,,,,,,,,,,
2011-04-18,,,,0.00629597473903476,,,,,,,,,,,,0.00629597473903476
2011-04-19,,,,,,0.008259487417997757,,,,,,,,,,
2011-04-20,,,,,,0.00782802231429458,,,,,,,,,,
2011-04-21,,,,,,0.00732964893012511,,,,,,,,,,
2011-04-26,,,,,,-0.0014537011683515288,,0.00732964893012511,,,,,,,,
2011-04-27,,,,,,-0.00239648186769148,,-0.0014537011683515288,,,,,,,,
2011-04-28,,,,,,-0.00474628947038902,,-0.00239648186769148,,,,,,,,
2011-04-29,,,,,,-0.001902101548805546,,-0.00474628947038902,,,,,,,,
2011-05-03,,,,-0.001902101548805546,,-0.005183718280580951,,,,,,,,,,
2011-05-04,,,,-0.005183718280580951,,0.003343765162957535,,,,,,,,,,
2011-05-05,,,,0.003343765162957535,,0.003278587107340636,,,,,,,,,,
2011-05-06,,,,,,0.008517055089288794,,,,,,,,,,
2011-05-09,,,,,,-0.007551525215014676,,,,,,,,,,
2011-05-10,,,,,,0.006193185450163785,,,,,,,,,,
2011-05-11,,,,,,-0.011913226467313187,,,,,,,,,,
2011-05-12,,,,,,-0.017405882563056863,,,,,,,,,,
2011-05-13,,,,,,0.0028865395396489024,,,,,,,,,,
2011-05-16,,,,,,0.008322411719317246,,,,,,,,,,0.0028865395396489024
2011-05-17,,,,,,0.0028976917637142385,,,,,,,,,,
2011-05-18,,,,,,-0.007686513792508509,,,,,,,,,,
2011-05-19,,,,,,-0.014724899728956409,,,,,,,,,,
2011-05-20,,,,,,-0.005717874514723498,,,,,,,,,,
2011-05-23,,,,,,0.00334735365157246,,,,,,,,,,-0.005717874514723498
2011-05-24,,,,0.00334735365157246,,0.006466172729906905,,,,,,,,,,0.00334735365157246
2011-05-25,,,,,,0.0044136637115765875,,0.006466172729906905,,,,,,,,
2011-05-26,,,,,,0.015559693356642867,,0.0044136637115765875,,,,,,,,
2011-05-27,,,,,,-0.019042657931901297,,0.015559693356642867,,,,,,,,
2011-05-31,,,,,,-0.014774658396760953,,-0.019042657931901297,,,,,,,,
2011-06-02,,,,,,-0.007802351486912329,,,,,,,,,,
2011-06-03,,,,,,-0.002436506699906471,,,,,,,,,,
2011-06-06,,,,-0.002436506699906471,,-0.007039068260609516,,,,,,,,,,-0.002436506699906471
2011-06-07,,,,-0.007039068260609516,,0.0016677852414974659,,,,,,,,,,-0.007039068260609516
2011-06-08,,,,0.0016677852414974659,,-0.01576404761349759,,,,,,,,,,0.0016677852414974659
2011-06-09,,,,,,0.0005607618915923762,,,,,,,,,,
2011-06-10,,,,,,0.012625270174286829,,,,,,,,,,
2011-06-13,,,,,,-0.018365391721015478,,,,,,,,,,
2011-06-14,,,,,,-0.004118738308343639,,,,,,,,,,
2011-06-15,,,,,,-0.0031813440794901116,,,,,,,,,,
2011-06-16,,,,,,0.0051703283583546256,,,,,,,,,,
2011-06-17,,,,0.0051703283583546256,,0.02149826081852435,,,,,,,,,,
2011-06-20,,,,,,-0.0071204942786690095,,,,,,,,,,
2011-06-21,,,,,,0.008611303565024375,,,,,,,,,,
